motif_id	candidate_index	disease_local_id	disease_name	disease_mesh_id	drug_local_id	drug_name	drugbank_id	gene_local_id	gene_symbol	gene_entrez_id	evidence_source	HANAMI_motif_percentile	TriMoGCL_motif_percentile	TriNet_motif_percentile	N2V_MLP_motif_percentile	RF_motif_percentile	supporting_trials
385	14031	83	Lung Neoplasms	D008175	562	Thalidomide	DB01041	1092	TNF	7124	strict_phase2_3_disease_directed_title	28.9840270641	23.8795392258	44.2752226790	19.5912555670	48.0086288112	NCT00004859[PHASE3] Carboplatin, Paclitaxel, and Radiation Therapy With or Without Thalidomide in Patients With Stage III Non-small Cell Lung Cancer; NCT00025285[PHASE2] Combination Chemotherapy Plus Thalidomide in Treating Patients With Stage IIIB or Stage IV Non-Small Cell Lung Cancer; NCT00053300[PHASE2] Thalidomide in Treating Patients With Extensive-Stage Small Cell Lung Cancer; NCT00061919[PHASE3] Carboplatin and Etoposide With or Without Thalidomide in Treating Patients With Limited-Stage or Extensive-Stage Small Cell Lung Cancer; NCT00114192[PHASE2] Docetaxel and Thalidomide as Second-Line Therapy in Treating Patients With Stage III or Stage IV Non-Small Cell Lung Cancer; NCT00281827[PHASE2] Carboplatin, Gemcitabine, and Thalidomide in Patients Undergoing Surgery for Stage II or III Non-Small Cell Lung Cancer
393	34610	18	Arthritis, Rheumatoid	D001172	1189	diacerein	DB11994	2578	IL1B	3553	strict_phase2_3_disease_directed_title	21.2750513875	25.8954265159	70.1903477218	44.3180455635	74.3910585817	NCT01264211[PHASE2] Safety and Efficacy of the Combination of Diacerein 100 mg Daily and MTX Versus MTX Alone in the Treatment of Early Rheumatoid Arthritis (RA)
406	11688	85	Stroke	D020521	496	aspirin	DB00945	985	PTGS2	5743	strict_phase2_3_disease_directed_title	14.9661699212	16.9253168893	26.7722250771	21.9576481672	10.5304684824	NCT01586975[PHASE2|PHASE3] Aspirin Resistance and Stroke Risk: Platelet Function Analysis in Patients With Ischemic Events; NCT03884530[PHASE3] Ticagrelol Versus Aspirin in Ischemic Stroke; NCT06530537[PHASE3] Cilostazol vs. Aspirin in Acute Non-cardioembolic Stroke With Cerebral mIcrobleeds; NCT06591338[PHASE3] Combining Aspirin With Ticagrelor or Clopidogrel in Large-vessel Minor Stroke or TIA; NCT06591377[PHASE3] Combining Aspirin With Ticagrelor or Cilostazol in Large-vessel Minor Stroke or TIA; NCT06638151[PHASE2] Clopidogrel Plus Aspirin in Acute Ischemic Stroke Following Thrombectomy and/or Intravenous Thrombolysis (CoPrime)
409	28880	190	Schizophrenia	D012559	474	ondansetron	DB00904	2152	OPRM1	4988	strict_phase2_3_disease_directed_title	20.2072627612	17.2015244947	41.8829222336	29.8820229531	15.9160885577	NCT00149734[PHASE3] Addition of Ondansetron to Ongoing Antipsychotic Treatment for Schizophrenia; NCT01121042[PHASE3] Double Blind, Placebo-Controlled, Randomised Investigation of Ondansetron in Schizophrenia
413	28894	190	Schizophrenia	D012559	484	Buprenorphine	DB00921	2152	OPRM1	4988	strict_phase2_3_disease_directed_title	20.4562778349	16.8475933539	50.1496659815	32.1661956149	33.8881038027	NCT05778591[PHASE2] Low-dose Buprenorphine as a Modulator of Social Motivation in Schizophrenia
430	10549	219	Melanoma	D008545	121	indomethacin	DB00328	985	PTGS2	5743	strict_phase2_3_disease_directed_title	21.1752740665	18.1095837616	48.5253939705	33.8564148681	39.1696642686	NCT00002535[PHASE2] Indomethacin Plus Biological Therapy in Treating Patients With Advanced Melanoma
437	13901	221	Acute Coronary Syndrome	D054058	415	pentoxifylline	DB00806	1092	TNF	7124	strict_phase2_3_disease_directed_title	16.1337358684	27.6047019527	34.2801473107	24.8691760877	16.0553699897	NCT04367935[PHASE2|PHASE3] Effect of Pentoxifylline on Endothelial Dysfunction in Patients With Acute Coronary Syndrome
444	9537	219	Melanoma	D008545	165	sorafenib	DB00398	846	BRAF	673	strict_phase2_3_disease_directed_title	17.3893028434	28.9943045564	36.9201781432	18.4161956149	18.1845238095	NCT00110019[PHASE3] Carboplatin and Paclitaxel With or Without Sorafenib Tosylate in Treating Patients With Stage III or Stage IV Melanoma That Cannot Be Removed by Surgery; NCT00119249[PHASE2] Sorafenib in Treating Patients With Stage III or Stage IV Melanoma That Cannot Be Removed By Surgery; NCT00281957[PHASE2] Sorafenib With Either Temsirolimus or Tipifarnib in Treating Patients With Stage IV Malignant Melanoma That Cannot Be Removed By Surgery; NCT00329641[PHASE2] Sorafenib, Carboplatin, and Paclitaxel in Treating Patients With Stage IV Melanoma of the Eye; NCT00387751[PHASE2] Bevacizumab and Sorafenib in Treating Patients With Unresectable Stage III or Stage IV Malignant Melanoma; NCT00483301[PHASE2] A Phase II Trial OF Carboplatin, ABI-007 (Abraxane) And Sorafenib (BAY 43-9006) in Metastatic Melanoma; NCT00492297[PHASE2] A Phase II, Multi-Center, Open-Label, Uncontrolled Study to Evaluate the Efficacy and Safety of Sorafenib Given Daily in Combination With Repeated 21-Day Cycles of Dacarbazine (DTIC) Chemotherapy in Subjects With Advanced Metastatic Melanoma; NCT00492505[PHASE2] Sorafenib, Tamoxifen, and Cisplatin in Treating Patients With High-Risk Stage III Melanoma; NCT00498836[PHASE2] Multicentre, Dose Finding, Ph II,CP-4055 in Comb. With Sorafenib - Patients With Metastatic Malignant Melanoma; NCT00538005[PHASE1|PHASE2] Sorafenib, Bevacizumab, and Oxaliplatin in Treating Patients With Metastatic Malignant Melanoma; NCT00602576[PHASE2] Temozolomide and Sorafenib in Treating Patients With Metastatic or Unresectable Melanoma; NCT00623402[PHASE2] Combined Treatment of Sorafenib and Pegylated Interferon α2b in Stage IV Metastatic Melanoma; NCT00794235[PHASE2] Monocentric Pilot Study Investigating the Metabolic Activity of Melanoma in Vivo During Sorafenib and Dacarbazine; NCT00811759[PHASE1|PHASE2] Sorafenib and Temozolomide in Treating Patients With Stage III or Stage IV Melanoma; NCT01377025[PHASE2] A Study of Sorafenib in Patients With Chemonaive Metastatic Uveal Melanoma; NCT01851408[PHASE2] Sorafenib and Temsirolimus in Treating Patients With Metastatic, Recurrent, or Unresectable Melanoma; NCT02517736[PHASE2] Study Multicentre Evaluating the Effectiveness and Toxicity Sorafenib (Nexavar®) in Adult Patients With Uveal Melanoma and Metastatic Dissemination
448	16070	190	Schizophrenia	D012559	484	Buprenorphine	DB00921	1281	OPRK1	4986	strict_phase2_3_disease_directed_title	20.0676601576	17.8198869476	54.1426858513	39.1927886262	43.4493833505	NCT05778591[PHASE2] Low-dose Buprenorphine as a Modulator of Social Motivation in Schizophrenia
450	11098	219	Melanoma	D008545	287	sulindac	DB00605	985	PTGS2	5743	strict_phase2_3_disease_directed_title	24.2323997945	21.1324511819	45.1426002055	41.9450154162	45.4094938335	NCT00755976[PHASE2] Sulindac and Epirubicin in Treating Patients With Metastatic Malignant Melanoma
