candidate_index,disease_local_id,disease_global_id,disease_mesh_id,disease_name,drug_local_id,drug_global_id,drugbank_id,drug_name,gene_local_id,gene_global_id,gene_entrez_id,gene_symbol,drug_gene_edge_in_ms,gene_disease_edge_in_ms,drug_disease_edge_in_ms,ms_motif
98,532,532,D003704,Dementia,864,1558,DB06782,dimercaprol,7,1973,351,APP,True,True,False,gene_star
99,555,555,D003294,"Seizures, Febrile",864,1558,DB06782,dimercaprol,7,1973,351,APP,True,True,False,gene_star
100,647,647,D001008,Anxiety Disorders,864,1558,DB06782,dimercaprol,7,1973,351,APP,True,True,False,gene_star
101,65,65,D000686,Amyloidosis,1118,1812,DB01593,zinc,7,1973,351,APP,True,True,False,gene_star
102,80,80,D000544,Alzheimer Disease,1118,1812,DB01593,zinc,7,1973,351,APP,True,True,False,gene_star
103,85,85,D020521,Stroke,1118,1812,DB01593,zinc,7,1973,351,APP,True,True,False,gene_star
104,112,112,D012640,Seizures,1118,1812,DB01593,zinc,7,1973,351,APP,True,True,False,gene_star
105,115,115,D004827,Epilepsy,1118,1812,DB01593,zinc,7,1973,351,APP,True,True,False,gene_star
106,121,121,D020734,Parkinsonian Disorders,1118,1812,DB01593,zinc,7,1973,351,APP,True,True,False,gene_star
107,139,139,D008881,Migraine Disorders,1118,1812,DB01593,zinc,7,1973,351,APP,True,True,False,gene_star
108,162,162,D003866,Depressive Disorder,1118,1812,DB01593,zinc,7,1973,351,APP,True,True,False,gene_star
109,183,183,D006261,Headache,1118,1812,DB01593,zinc,7,1973,351,APP,True,True,False,gene_star
110,191,191,D001714,Bipolar Disorder,1118,1812,DB01593,zinc,7,1973,351,APP,True,True,False,gene_star
111,260,260,D002545,Brain Ischemia,1118,1812,DB01593,zinc,7,1973,351,APP,True,True,False,gene_star
112,532,532,D003704,Dementia,1118,1812,DB01593,zinc,7,1973,351,APP,True,True,False,gene_star
113,555,555,D003294,"Seizures, Febrile",1118,1812,DB01593,zinc,7,1973,351,APP,True,True,False,gene_star
114,647,647,D001008,Anxiety Disorders,1118,1812,DB01593,zinc,7,1973,351,APP,True,True,False,gene_star
115,635,635,D009069,Movement Disorders,882,1576,DB08827,lomitapide,13,1979,4547,MTTP,True,True,False,gene_star
116,607,607,D000012,Abetalipoproteinemia,1048,1742,DB01094,Hesperetin,13,1979,4547,MTTP,True,True,False,gene_star
117,635,635,D009069,Movement Disorders,1048,1742,DB01094,Hesperetin,13,1979,4547,MTTP,True,True,False,gene_star
118,6,6,D001943,Breast Neoplasms,293,987,DB00619,imatinib,14,1980,1436,CSF1R,True,True,False,gene_star
119,137,137,D009128,Muscle Spasticity,293,987,DB00619,imatinib,14,1980,1436,CSF1R,True,True,False,gene_star
120,162,162,D003866,Depressive Disorder,293,987,DB00619,imatinib,14,1980,1436,CSF1R,True,True,False,gene_star
121,283,283,D015470,"Leukemia, Myeloid, Acute",293,987,DB00619,imatinib,14,1980,1436,CSF1R,True,True,False,gene_star
122,472,472,D009362,Neoplasm Metastasis,293,987,DB00619,imatinib,14,1980,1436,CSF1R,True,True,False,gene_star
123,6,6,D001943,Breast Neoplasms,708,1402,DB01268,sunitinib,14,1980,1436,CSF1R,True,True,False,gene_star
124,137,137,D009128,Muscle Spasticity,708,1402,DB01268,sunitinib,14,1980,1436,CSF1R,True,True,False,gene_star
125,162,162,D003866,Depressive Disorder,708,1402,DB01268,sunitinib,14,1980,1436,CSF1R,True,True,False,gene_star
126,283,283,D015470,"Leukemia, Myeloid, Acute",708,1402,DB01268,sunitinib,14,1980,1436,CSF1R,True,True,False,gene_star
127,472,472,D009362,Neoplasm Metastasis,708,1402,DB01268,sunitinib,14,1980,1436,CSF1R,True,True,False,gene_star
128,6,6,D001943,Breast Neoplasms,843,1537,DB06589,pazopanib,14,1980,1436,CSF1R,True,True,False,gene_star
129,137,137,D009128,Muscle Spasticity,843,1537,DB06589,pazopanib,14,1980,1436,CSF1R,True,True,False,gene_star
130,162,162,D003866,Depressive Disorder,843,1537,DB06589,pazopanib,14,1980,1436,CSF1R,True,True,False,gene_star
131,283,283,D015470,"Leukemia, Myeloid, Acute",843,1537,DB06589,pazopanib,14,1980,1436,CSF1R,True,True,False,gene_star
132,472,472,D009362,Neoplasm Metastasis,843,1537,DB06589,pazopanib,14,1980,1436,CSF1R,True,True,False,gene_star
133,6,6,D001943,Breast Neoplasms,1043,1737,DB12010,fostamatinib,14,1980,1436,CSF1R,True,True,False,gene_star
134,137,137,D009128,Muscle Spasticity,1043,1737,DB12010,fostamatinib,14,1980,1436,CSF1R,True,True,False,gene_star
135,162,162,D003866,Depressive Disorder,1043,1737,DB12010,fostamatinib,14,1980,1436,CSF1R,True,True,False,gene_star
136,283,283,D015470,"Leukemia, Myeloid, Acute",1043,1737,DB12010,fostamatinib,14,1980,1436,CSF1R,True,True,False,gene_star
137,472,472,D009362,Neoplasm Metastasis,1043,1737,DB12010,fostamatinib,14,1980,1436,CSF1R,True,True,False,gene_star
138,93,93,D006973,Hypertension,33,727,DB00182,Amphetamine,17,1983,153,ADRB1,True,True,False,gene_star
