clinical_set_index,validation_pair_id,evidence_subset,evidence_review_status,condition_group,disease_local_id,disease_label,disease_cui,disease_mesh_id,drug_local_id,drug_global_id,drugbank_id,drug_name,gene_intermediaries,gene_symbols,gene_entrez_ids,candidate_indices,n_gene_bridges,hanami_median_top_percent,hanami_q1_top_percent,hanami_q3_top_percent,hard_clique_positive_seeds,ms_drug_disease_edge_present,has_exact_raw_drug_disease_bridge,hierarchy_specificity_flag,condition_match_kind,n_phase2_3_trials,phase2_3_phases,nct_ids,source_urls,example_trial_title,evidence_notes,source_table
284,3ce2bb521db5d66849e4,automatic_phase2_3_registry_match,automatic_not_manually_verified,breast_oncology,6,Breast Neoplasms,C0006142,D001943,415,1109,DB00806,pentoxifylline,TNF|7124|pool:13872,TNF,7124,13872,1,1.537341555327167,0.0631637547105173,15.737410071942447,10,False,False,True,exact_or_named_subtype,5,PHASE2;PHASE2|PHASE3;PHASE3,NCT00022204;NCT00188669;NCT02898376;NCT05189535;NCT06087237,https://clinicaltrials.gov/study/NCT00022204;https://clinicaltrials.gov/study/NCT00188669;https://clinicaltrials.gov/study/NCT02898376;https://clinicaltrials.gov/study/NCT05189535;https://clinicaltrials.gov/study/NCT06087237,Vitamin E and Pentoxifylline in Treating Women With Lymphedema After Radiation Therapy for Breast Cancer,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
285,657449a8dc418ad1c353,automatic_phase2_3_registry_match,automatic_not_manually_verified,breast_oncology,6,Breast Neoplasms,C0006142,D001943,900,1594,DB08901,ponatinib,KIT|3815|pool:15434; FGFR1|2260|pool:2482; ABL1|25|pool:4608,KIT; FGFR1; ABL1,3815; 2260; 25,15434;2482;4608,3,14.135834189791025,8.276593011305241,31.185765673175744,10,False,False,True,exact_or_named_subtype,1,PHASE2,NCT04591431,https://clinicaltrials.gov/study/NCT04591431,The Rome Trial From Histology to Target: the Road to Personalize Target Therapy and Immunotherapy,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
286,05d39b7e6d6a9862b768,automatic_phase2_3_registry_match,automatic_not_manually_verified,breast_oncology,6,Breast Neoplasms,C0006142,D001943,705,1399,DB01263,posaconazole,CYP3A4|1576|pool:34737,CYP3A4,1576,34737,1,12.692702980472763,7.7996531346351485,18.38921719767044,10,False,False,True,exact_or_named_subtype,1,PHASE2,NCT06802757,https://clinicaltrials.gov/study/NCT06802757,Posaconazole Plus PD-1 Inhibitors and Chemotherapy vs PD-1 Inhibitors and Chemotherapy in Neoadjuvant Therapy for Triple Negative Breast Cancer,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
287,73b7d7ef4c41bd414b38,automatic_phase2_3_registry_match,automatic_not_manually_verified,breast_oncology,6,Breast Neoplasms,C0006142,D001943,26,720,DB00175,pravastatin,SLCO1B1|10599|pool:43289,SLCO1B1,10599,43289,1,32.63960260363138,20.84350376841384,42.27421634121274,9,False,False,True,exact_or_named_subtype,2,PHASE2,NCT04190433;NCT04356209,https://clinicaltrials.gov/study/NCT04190433;https://clinicaltrials.gov/study/NCT04356209,"Autophagy Activation for the Alleviation of Cardiomyopathy Symptoms After Anthracycline Treatment, ATACAR Trial",Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
288,0ed0681428f3ea4d0859,automatic_phase2_3_registry_match,automatic_not_manually_verified,breast_oncology,6,Breast Neoplasms,C0006142,D001943,451,1145,DB00863,ranitidine,ACHE|43|pool:31404; BCHE|590|pool:32849,ACHE; BCHE,43; 590,31404;32849,2,15.446214457005825,7.490257793764988,23.6896197327852,10,False,False,True,exact_or_named_subtype,2,PHASE2;PHASE2|PHASE3,NCT01332630;NCT04862585,https://clinicaltrials.gov/study/NCT01332630;https://clinicaltrials.gov/study/NCT04862585,TPI 287 in Breast Cancer Metastatic to the Brain,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
289,83a751dca28e70558c2d,automatic_phase2_3_registry_match,automatic_not_manually_verified,breast_oncology,6,Breast Neoplasms,C0006142,D001943,898,1592,DB08896,regorafenib,KIT|3815|pool:15412,KIT,3815,15412,1,15.343439534087016,8.360097636176773,28.7630609797876,10,False,False,True,exact_or_named_subtype,1,PHASE2,NCT02955940,https://clinicaltrials.gov/study/NCT02955940,An Open-Label Study to Enable Continued Treatment Access for Subjects Previously Enrolled in Studies of Ruxolitinib,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
290,9e16c7a1c1d0e7e3692e,automatic_phase2_3_registry_match,automatic_not_manually_verified,breast_oncology,6,Breast Neoplasms,C0006142,D001943,165,859,DB00398,sorafenib,KIT|3815|pool:15281; FGFR1|2260|pool:2347; KDR|3791|pool:1226,KIT; FGFR1; KDR,3815; 2260; 3791,15281;2347;1226,3,15.676387461459404,7.46724049331963,28.43011305241521,10,False,False,True,exact_or_named_subtype,7,PHASE1|PHASE2;PHASE2,NCT00493636;NCT00525161;NCT00632541;NCT00634634;NCT00825734;NCT01194869;NCT05594095,https://clinicaltrials.gov/study/NCT00493636;https://clinicaltrials.gov/study/NCT00525161;https://clinicaltrials.gov/study/NCT00632541;https://clinicaltrials.gov/study/NCT00634634;https://clinicaltrials.gov/study/NCT00825734;https://clinicaltrials.gov/study/NCT01194869;https://clinicaltrials.gov/study/NCT05594095,1st or 2nd Line MBC (Metastatic Breast Cancer) With Previous Avastin (Bevacizumab) Therapy,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
291,30edfe084c585ef92911,automatic_phase2_3_registry_match,automatic_not_manually_verified,breast_oncology,6,Breast Neoplasms,C0006142,D001943,180,874,DB00421,spironolactone,AR|367|pool:5429; PGR|5241|pool:7069,AR; PGR,367; 5241,5429;7069,2,5.773595409386776,4.358834361082563,12.134399623158616,10,False,False,True,exact_or_named_subtype,1,PHASE2,NCT04190433,https://clinicaltrials.gov/study/NCT04190433,"Autophagy Activation for the Alleviation of Cardiomyopathy Symptoms After Anthracycline Treatment, ATACAR Trial",Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
292,38cf37e7f514e94271ff,automatic_phase2_3_registry_match,automatic_not_manually_verified,breast_oncology,6,Breast Neoplasms,C0006142,D001943,407,1101,DB00795,sulfasalazine,PTGS2|5743|pool:11378; PTGS1|5742|pool:35178,PTGS2; PTGS1,5743; 5742,11378;35178,2,3.360525865022268,0.8441461116820829,7.401935594381637,10,False,False,True,exact_or_named_subtype,1,PHASE2,NCT03847311,https://clinicaltrials.gov/study/NCT03847311,Sulfasalazine in Decreasing Opioids Requirements in Breast Cancer Patients,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
293,53bf48ee89c1d2aaa25a,automatic_phase2_3_registry_match,automatic_not_manually_verified,breast_oncology,6,Breast Neoplasms,C0006142,D001943,287,981,DB00605,sulindac,PTGS2|5743|pool:11074; PTGS1|5742|pool:35133,PTGS2; PTGS1,5743; 5742,11074;35133,2,3.8519184652278176,1.2102817745803356,11.14037341555327,10,False,False,True,exact_or_named_subtype,1,PHASE2,NCT00039520,https://clinicaltrials.gov/study/NCT00039520,Sulindac and Docetaxel in Treating Women With Metastatic or Recurrent Breast Cancer,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
294,3ff213c6ce297c5feec8,automatic_phase2_3_registry_match,automatic_not_manually_verified,breast_oncology,6,Breast Neoplasms,C0006142,D001943,708,1402,DB01268,sunitinib,KDR|3791|pool:1236; FGFR1|2260|pool:2401; FLT1|2321|pool:3967,KDR; FGFR1; FLT1,3791; 2260; 2321,1236;2401;3967,3,31.478031860226103,14.986403734155534,59.00993490921549,10,False,False,True,exact_or_named_subtype,7,PHASE1|PHASE2;PHASE2;PHASE3,NCT00373256;NCT00434356;NCT00471276;NCT00570908;NCT00662025;NCT00887575;NCT01803503,https://clinicaltrials.gov/study/NCT00373256;https://clinicaltrials.gov/study/NCT00434356;https://clinicaltrials.gov/study/NCT00471276;https://clinicaltrials.gov/study/NCT00570908;https://clinicaltrials.gov/study/NCT00662025;https://clinicaltrials.gov/study/NCT00887575;https://clinicaltrials.gov/study/NCT01803503,A Study Of SU011248 Plus Paclitaxel Versus Bevacizumab Plus Paclitaxel In Patients With Advanced Breast Cancer,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
295,07526bb1ee8b2a272676,automatic_phase2_3_registry_match,automatic_not_manually_verified,breast_oncology,6,Breast Neoplasms,C0006142,D001943,782,1476,DB04572,thiotepa,CYP3A4|1576|pool:34751,CYP3A4,1576,34751,1,11.14572627612196,8.098342754367934,17.061707776635835,10,False,False,True,exact_or_named_subtype,23,PHASE1|PHASE2;PHASE2;PHASE3,NCT00002680;NCT00002755;NCT00002772;NCT00002780;NCT00002836;NCT00002870;NCT00003068;NCT00003086;NCT00003199;NCT00003680;NCT00003877;NCT00003972;NCT00004092;NCT00004172;NCT00004900;NCT00004906;NCT00005798;NCT00006123;NCT00008203;NCT00012311;NCT00060255;NCT00182793;NCT00429182,https://clinicaltrials.gov/study/NCT00002680;https://clinicaltrials.gov/study/NCT00002755;https://clinicaltrials.gov/study/NCT00002772;https://clinicaltrials.gov/study/NCT00002780;https://clinicaltrials.gov/study/NCT00002836;https://clinicaltrials.gov/study/NCT00002870;https://clinicaltrials.gov/study/NCT00003068;https://clinicaltrials.gov/study/NCT00003086;https://clinicaltrials.gov/study/NCT00003199;https://clinicaltrials.gov/study/NCT00003680;https://clinicaltrials.gov/study/NCT00003877;https://clinicaltrials.gov/study/NCT00003972;https://clinicaltrials.gov/study/NCT00004092;https://clinicaltrials.gov/study/NCT00004172;https://clinicaltrials.gov/study/NCT00004900;https://clinicaltrials.gov/study/NCT00004906;https://clinicaltrials.gov/study/NCT00005798;https://clinicaltrials.gov/study/NCT00006123;https://clinicaltrials.gov/study/NCT00008203;https://clinicaltrials.gov/study/NCT00012311;https://clinicaltrials.gov/study/NCT00060255;https://clinicaltrials.gov/study/NCT00182793;https://clinicaltrials.gov/study/NCT00429182,Sequential High-Dose Chemotherapy and Stem Cell Transplantation in Treating Patients With Chemotherapy-Sensitive Metastatic Breast Cancer,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
296,f8684dcafc3d8a46565e,automatic_phase2_3_registry_match,automatic_not_manually_verified,breast_oncology,6,Breast Neoplasms,C0006142,D001943,1249,1943,DB09070,tibolone,ESR1|2099|pool:2323,ESR1,2099,2323,1,7.23706748886605,4.895190990065091,14.652385234669406,10,False,False,True,exact_or_named_subtype,3,PHASE2;PHASE3,NCT00165204;NCT00408863;NCT00725374,https://clinicaltrials.gov/study/NCT00165204;https://clinicaltrials.gov/study/NCT00408863;https://clinicaltrials.gov/study/NCT00725374,"Effects of Tibilone on Bone Density, Menopause Symptoms and Breast Density in Women After Prophylactic Oophorectomy",Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
297,44543f83edcc315e0f61,automatic_phase2_3_registry_match,automatic_not_manually_verified,breast_oncology,6,Breast Neoplasms,C0006142,D001943,964,1658,DB11581,venetoclax,BCL2|596|pool:3632,BCL2,596,3632,1,29.27265330592669,18.376370332305584,46.53134635149024,10,False,False,True,exact_or_named_subtype,2,PHASE1|PHASE2;PHASE2,NCT03584009;NCT04298918,https://clinicaltrials.gov/study/NCT03584009;https://clinicaltrials.gov/study/NCT04298918,"A Phase II Study Comparing The Efficacy Of Venetoclax + Fulvestrant Vs. Fulvestrant In Women With Estrogen Receptor-Positive, Her2-Negative Locally Advanced Or ",Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
298,14896a81570728205e9b,automatic_phase2_3_registry_match,automatic_not_manually_verified,gynecologic_reproductive,1,Endometriosis,C0014175,D004715,1057,1751,DB01006,letrozole,CYP19A1|1588|pool:43453,CYP19A1,1588,43453,1,32.0561408016444,21.50083504624872,39.54853973963687,10,False,True,False,exact_or_named_subtype,3,PHASE2,NCT00240942;NCT04002141;NCT07183787,https://clinicaltrials.gov/study/NCT00240942;https://clinicaltrials.gov/study/NCT04002141;https://clinicaltrials.gov/study/NCT07183787,Letrozole in the Treatment of Severe and Recurrent Endometriosis,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
299,3f7a2c57b4f7be1ab79a,automatic_phase2_3_registry_match,automatic_not_manually_verified,gynecologic_reproductive,1,Endometriosis,C0014175,D004715,144,838,DB00367,levonorgestrel,PGR|5241|pool:7058,PGR,5241,7058,1,31.160071942446045,23.02425916409729,45.46077423775266,10,False,True,False,exact_or_named_subtype,2,PHASE2;PHASE2|PHASE3,NCT02203331;NCT02599077,https://clinicaltrials.gov/study/NCT02203331;https://clinicaltrials.gov/study/NCT02599077,"Bay98-7196, Dose Finding / POC Study",Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
300,5c8d84612d349bd82f31,automatic_phase2_3_registry_match,automatic_not_manually_verified,gynecologic_reproductive,1,Endometriosis,C0014175,D004715,430,1124,DB00834,mifepristone,NR3C1|2908|pool:2956; PGR|5241|pool:7100,NR3C1; PGR,2908; 5241,2956;7100,2,15.259934909215485,11.26884206920178,29.844874100719423,10,False,True,False,exact_or_named_subtype,1,PHASE2|PHASE3,NCT02271958,https://clinicaltrials.gov/study/NCT02271958,"Mifepristone 2.5, 5, 10 mg Versus Placebo in the Treatment of Endometriosis",Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
301,032e4d4fcc7222cc0076,automatic_phase2_3_registry_match,automatic_not_manually_verified,gynecologic_reproductive,1,Endometriosis,C0014175,D004715,617,1311,DB01132,pioglitazone,MAOB|4129|pool:41033,MAOB,4129,41033,1,34.95739122987324,28.95844039054471,38.24672404933196,10,False,True,False,exact_or_named_subtype,1,PHASE2|PHASE3,NCT01184144,https://clinicaltrials.gov/study/NCT01184144,Endometriosis: Immunomodulation,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
302,9b49bd5839e800c86318,automatic_phase2_3_registry_match,automatic_not_manually_verified,gynecologic_reproductive,1,Endometriosis,C0014175,D004715,217,911,DB00481,raloxifene,ESR2|2100|pool:6293,ESR2,2100,6293,1,33.21449982870846,26.61924032202809,41.2373672490579,10,False,True,False,exact_or_named_subtype,1,PHASE2,NCT00001848,https://clinicaltrials.gov/study/NCT00001848,The Safety and Effectiveness of Surgery With or Without Raloxifene for the Treatment of Pelvic Pain Caused by Endometriosis,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
303,0a893b8a6984b3bd9669,automatic_phase2_3_registry_match,automatic_not_manually_verified,neurological_seizure,112,Seizures,C0494475,D012640,337,1031,DB00683,Midazolam,GABRA1|2554|pool:33773; GABRB3|2562|pool:24720; 2566|2566|pool:45223; GABRA5|2558|pool:42999; GABRD|2563|pool:8320,GABRA1; GABRB3; 2566; GABRA5; GABRD,2554; 2562; 2566; 2558; 2563,33773;24720;45223;42999;8320,5,10.790296334361082,8.946235868448099,16.870075368276808,10,False,True,True,broader_narrower_seizure_spectrum,4,PHASE2;PHASE2|PHASE3,NCT00326612;NCT04926844;NCT05779657;NCT07095842,https://clinicaltrials.gov/study/NCT00326612;https://clinicaltrials.gov/study/NCT04926844;https://clinicaltrials.gov/study/NCT05779657;https://clinicaltrials.gov/study/NCT07095842,Intranasal Midazolam Versus Rectal Diazepam for Treatment of Seizures,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
304,f0041db366ffca092fe0,automatic_phase2_3_registry_match,automatic_not_manually_verified,neurological_seizure,112,Seizures,C0494475,D012640,760,1454,DB01595,Nitrazepam,GABRA1|2554|pool:33982; 2566|2566|pool:45321; GABRB3|2562|pool:24826; GABRD|2563|pool:8412; GABRA5|2558|pool:43072; SCN1A|6323|pool:31775,GABRA1; 2566; GABRB3; GABRD; GABRA5; SCN1A,2554; 2566; 2562; 2563; 2558; 6323,33982;45321;24826;8412;43072;31775,6,10.672533401849948,6.498908016443988,12.434159815005138,10,False,True,True,broader_narrower_seizure_spectrum,1,PHASE2,NCT00004758,https://clinicaltrials.gov/study/NCT00004758,Phase II Randomized Study of Early Surgery Vs Multiple Sequential Antiepileptic Drug Therapy for Infantile Spasms Refractory to Standard Treatment,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
305,075d6d644d867f1d0455,automatic_phase2_3_registry_match,automatic_not_manually_verified,neurological_seizure,112,Seizures,C0494475,D012640,496,1190,DB00945,aspirin,PTGS2|5743|pool:11693,PTGS2,5743,11693,1,2.55866735183282,0.8650222678999657,7.772353545734841,10,False,False,True,broader_narrower_seizure_spectrum,1,PHASE2,NCT03356769,https://clinicaltrials.gov/study/NCT03356769,Aspirin as an add-on Treatment of Refractory Epilepsy in Tuberous Sclerosis Complex,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
306,ed288a3e14114c3fb22f,automatic_phase2_3_registry_match,automatic_not_manually_verified,neurological_seizure,112,Seizures,C0494475,D012640,468,1162,DB00887,bumetanide,SLC12A1|6557|pool:43757,SLC12A1,6557,43757,1,38.83714457005824,31.646111682082907,43.01558752997602,10,False,False,True,broader_narrower_seizure_spectrum,1,PHASE1|PHASE2,NCT01434225,https://clinicaltrials.gov/study/NCT01434225,NEMO1:NEonatal Seizure Using Medication Off-patent,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
307,e3206cb5a700c2f9e1c3,manual_strong_registry_review,manually_reviewed_strong,neurological_seizure,112,Seizures,C0494475,D012640,427,1121,DB00829,diazepam,GABRA1|2554|pool:33823; 2566|2566|pool:45254; GABRB3|2562|pool:24756; GABRA5|2558|pool:43018; GABRD|2563|pool:8350,GABRA1; 2566; GABRB3; GABRA5; GABRD,2554; 2566; 2562; 2558; 2563,33823;45254;24756;43018;8350,5,8.573141486810552,6.338322199383351,9.787170263788967,10,False,True,True,broader_category,3,PHASE3;PHASE2;PHASE2|PHASE3,NCT00004297;NCT00326612;NCT02904265,https://clinicaltrials.gov/study/NCT00004297;https://clinicaltrials.gov/study/NCT00326612;https://clinicaltrials.gov/study/NCT02904265,,Diazepam is an active comparator or treatment in Phase II/III seizure-spectrum trials; status epilepticus and epilepsy are narrower seizure-spectrum conditions.,ctgov_manually_reviewed_key_cases.csv
308,e58b4770c40930e022f4,automatic_phase2_3_registry_match,automatic_not_manually_verified,neurological_seizure,112,Seizures,C0494475,D012640,212,906,DB00472,fluoxetine,CHRNA2|1135|pool:46474,CHRNA2,1135,46474,1,38.02350976361768,19.94529376498801,47.83905018842069,9,False,False,True,broader_narrower_seizure_spectrum,1,PHASE2,NCT02929667,https://clinicaltrials.gov/study/NCT02929667,Abnormal Ventilatory Response to Carbon Dioxide: a Potential Biomarker for Seizure Induced Respiratory Depression & Modification by SSRI,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
309,947c06f6ee5ce876818e,automatic_phase2_3_registry_match,automatic_not_manually_verified,neurological_seizure,112,Seizures,C0494475,D012640,567,1261,DB01050,ibuprofen,PTGS2|5743|pool:12058,PTGS2,5743,12058,1,2.9547790339157247,1.2959275436793425,9.212808324768757,10,False,False,True,broader_narrower_seizure_spectrum,1,PHASE2,NCT03399318,https://clinicaltrials.gov/study/NCT03399318,Aggressive Antipyretics for Fever Reduction in CNS Malaria,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
310,e46969b56a50d4d74d2e,automatic_phase2_3_registry_match,automatic_not_manually_verified,neurological_seizure,112,Seizures,C0494475,D012640,647,1341,DB01183,naloxone,OPRM1|4988|pool:28932,OPRM1,4988,28932,1,18.09909215484755,12.856500513874614,23.9743919150394,10,False,False,True,broader_narrower_seizure_spectrum,1,PHASE3,NCT02332447,https://clinicaltrials.gov/study/NCT02332447,Efficacy of Naloxone in Reducing Postictal Central Respiratory Dysfunction in Patients With Epilepsy,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
311,f3433878f9d5a1316061,automatic_phase2_3_registry_match,automatic_not_manually_verified,neurological_seizure,112,Seizures,C0494475,D012640,1091,1785,DB00818,propofol,GABRA1|2554|pool:34109; 2566|2566|pool:45392; GABRB3|2562|pool:24914; GABRA5|2558|pool:43117; GABRD|2563|pool:8483; SCN2A|6326|pool:45844,GABRA1; 2566; GABRB3; GABRA5; GABRD; SCN2A,2554; 2566; 2562; 2558; 2563; 6326,34109;45392;24914;43117;8483;45844,6,10.338514902363825,6.488202295306611,12.485011990407674,10,False,True,True,broader_narrower_seizure_spectrum,1,PHASE3,NCT00265616,https://clinicaltrials.gov/study/NCT00265616,Treatment of Refractory Status Epilepticus,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
312,d25ee58e2404f8480638,automatic_phase2_3_registry_match,automatic_not_manually_verified,neurological_seizure,112,Seizures,C0494475,D012640,86,780,DB00273,topiramate,GABRA1|2554|pool:33573; 2566|2566|pool:45115; GABRB3|2562|pool:24606; GABRD|2563|pool:8231; GABRA5|2558|pool:42935; SCN1A|6323|pool:31665; SCN10A|6336|pool:45427; SCN2A|6326|pool:45754; SCN8A|6334|pool:36254,GABRA1; 2566; GABRB3; GABRD; GABRA5; SCN1A; SCN10A; SCN2A; SCN8A,2554; 2566; 2562; 2563; 2558; 6323; 6336; 6326; 6334,33573;45115;24606;8231;42935;31665;45427;45754;36254,9,6.94908359027064,3.4547362110311752,8.746038883179171,10,False,True,True,broader_narrower_seizure_spectrum,16,PHASE2;PHASE3,NCT00113815;NCT00210574;NCT00230698;NCT00231556;NCT00236418;NCT00236691;NCT00236704;NCT00236730;NCT00236743;NCT00236756;NCT00236847;NCT00236860;NCT00236873;NCT00236886;NCT00266591;NCT00563459,https://clinicaltrials.gov/study/NCT00113815;https://clinicaltrials.gov/study/NCT00210574;https://clinicaltrials.gov/study/NCT00230698;https://clinicaltrials.gov/study/NCT00231556;https://clinicaltrials.gov/study/NCT00236418;https://clinicaltrials.gov/study/NCT00236691;https://clinicaltrials.gov/study/NCT00236704;https://clinicaltrials.gov/study/NCT00236730;https://clinicaltrials.gov/study/NCT00236743;https://clinicaltrials.gov/study/NCT00236756;https://clinicaltrials.gov/study/NCT00236847;https://clinicaltrials.gov/study/NCT00236860;https://clinicaltrials.gov/study/NCT00236873;https://clinicaltrials.gov/study/NCT00236886;https://clinicaltrials.gov/study/NCT00266591;https://clinicaltrials.gov/study/NCT00563459,Topiramate as Adjunctive Therapy in Infants 1-24 Months for the Control of Partial Onset Seizures,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
313,0ae39bd475701b526e58,automatic_phase2_3_registry_match,automatic_not_manually_verified,neurological_seizure,113,Status Epilepticus,C0038220,D013226,640,1334,DB01174,Phenobarbital,GABRA1|2554|pool:33908; GRIA2|2891|pool:25057,GABRA1; GRIA2,2554; 2891,33908;25057,2,19.50796505652621,12.567446043165468,21.93174032202809,10,False,True,False,exact_or_named_subtype,3,PHASE2;PHASE3,NCT02726867;NCT03025906;NCT03650270,https://clinicaltrials.gov/study/NCT02726867;https://clinicaltrials.gov/study/NCT03025906;https://clinicaltrials.gov/study/NCT03650270,"Levetiracetam, Lacosamide and Ketamine as Adjunctive Treatment of Refractory Status Epilepticus",Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
314,fbd0c9bef9f2623734d2,automatic_phase2_3_registry_match,automatic_not_manually_verified,neurological_seizure,113,Status Epilepticus,C0038220,D013226,109,803,DB00313,Valproic Acid,SCN2A|6326|pool:45768; SCN1A|6323|pool:31685; SCN8A|6334|pool:36272; ALDH5A1|7915|pool:39838,SCN2A; SCN1A; SCN8A; ALDH5A1,6326; 6323; 6334; 7915,45768;31685;36272;39838,4,28.88189448441247,22.917201952723538,33.48374871531346,10,False,True,False,exact_or_named_subtype,1,PHASE3,NCT01960075,https://clinicaltrials.gov/study/NCT01960075,Established Status Epilepticus Treatment Trial,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
315,c639d444189805d423ca,automatic_phase2_3_registry_match,automatic_not_manually_verified,neurological_seizure,113,Status Epilepticus,C0038220,D013226,578,1272,DB01068,clonazepam,GABRA1|2554|pool:33883,GABRA1,2554,33883,1,22.855644056183625,18.773552586502227,32.7129367934224,10,False,True,False,exact_or_named_subtype,1,PHASE3,NCT01870024,https://clinicaltrials.gov/study/NCT01870024,"Comparison Between Lorazepam, Clonazepam and Clonazepam + Fosphenytoin for the Treatment of Out-of-hospital Generalized Status Epilepticus",Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
316,7f484d20548b81164901,automatic_phase2_3_registry_match,automatic_not_manually_verified,neurological_seizure,113,Status Epilepticus,C0038220,D013226,1056,1750,DB06218,lacosamide,SCN1A|6323|pool:31825; SCN2A|6326|pool:45838; SCN8A|6334|pool:36374,SCN1A; SCN2A; SCN8A,6323; 6326; 6334,31825;45838;36374,3,39.21291538198013,37.41756594724221,47.793550873586845,10,False,True,False,exact_or_named_subtype,1,PHASE3,NCT02726867,https://clinicaltrials.gov/study/NCT02726867,"Levetiracetam, Lacosamide and Ketamine as Adjunctive Treatment of Refractory Status Epilepticus",Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
317,ff1ae5f29774337be85c,automatic_phase2_3_registry_match,automatic_not_manually_verified,neurological_seizure,113,Status Epilepticus,C0038220,D013226,661,1355,DB01202,levetiracetam,SCN1A|6323|pool:31756,SCN1A,6323,31756,1,36.26991264131552,31.52513703323056,39.29053186022611,10,False,True,False,exact_or_named_subtype,4,PHASE2;PHASE2|PHASE3;PHASE3,NCT01960075;NCT02726867;NCT04926844;NCT07046611,https://clinicaltrials.gov/study/NCT01960075;https://clinicaltrials.gov/study/NCT02726867;https://clinicaltrials.gov/study/NCT04926844;https://clinicaltrials.gov/study/NCT07046611,Established Status Epilepticus Treatment Trial,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
