,dise_Name,dise_id,dise_MeSH,dise_MS_no
406,Urinary tract infection,C0042029,D014552,132
407,Erythropoietic Protoporphyria,C0162568,D046351,590
408,"Hepatitis C, Chronic",C0524910,D019698,369
409,Immediate Hypersensitivity,C0020523,D006969,560
410,irritable bowel syndrome,C0022104,D043183,304
411,Anovulation,C0003128,D000858,503
412,Erythema Nodosum,C0014743,D004893,531
413,Factor Xiii Deficiency,C0015530,D005177,687
414,Chronic Neutrophilic Leukemia,C0023481,D015467,285
415,Phenylketonurias,C0031485,D010661,289
416,Ovarian Hyperstimulation Syndrome,C0085083,D016471,688
417,Rickettsia Infections,C0035585,D012282,204
418,Graft-Vs-Host Disease,C0018133,D006086,428
419,Giant Cell Arteritis,C0039483,D013700,411
420,Facial Dermatoses,C0015456,D005148,175
421,Erythema Multiforme,C0014742,D004892,342
422,bulimia nervosa,C2267227,D052018,362
423,Hemophilia B,C0008533,D002836,689
424,Thyrotoxicosis,C0040156,D013971,234
425,Mydriasis,C0026961,D015878,300
426,"Respiratory Distress Syndrome, Newborn",C0035220,D012127,332
427,Bronchopulmonary Dysplasia,C0006287,D001997,690
428,ichthyosis vulgaris,C0079584,D016112,586
429,"Niemann-Pick Disease, Type C",C0220756,D052556,320
430,Multiple Acyl Coenzyme A Dehydrogenase Deficiency,C0268596,D054069,394
431,peroxisomal disorders,C0282528,D018901,583
432,vitamin E deficiency,C0042875,D014811,58
433,Refractory Anaemia With Excess Blasts,C0002894,D000754,570
434,Mucopolysaccharidosis Vi,C0026709,D009087,691
435,episcleritis,C0014583,D015423,201
436,Anaplastic Astrocytoma,C0334579,D001254,220
437,Propionic Acidemia,C0268579,D056693,395
438,hydatidiform mole,C0020217,D006828,385
439,gastroparesis,C0152020,D018589,402
440,hemorrhoids,C0019112,D006484,238
441,paralytic ileus,C0030446,D007418,639
442,Nocturia,C0028734,D053158,549
443,Hyperlipoproteinemia Type Iv,C0020480,D006953,422
444,"Jaundice, Obstructive",C0022354,D041781,692
445,"Xanthomatosis, Cerebrotendinous",C0238052,D019294,582
446,Generalized Myotonia of Thomsen,C2936781,D009224,557
447,Hay Fever,C0018621,D006255,279
448,Mucopolysaccharidosis Ii,C0026705,D016532,693
449,rosacea,C0035854,D012393,197
450,Persistent Fetal Circulation Syndrome,C0031190,D010547,330
451,Malignant Carcinoid Syndrome,C0024586,D008303,27
452,"Rhinitis, Allergic, Perennial",C0035457,D012221,98
453,Serum Sickness,C0036830,D012713,340
454,Dyssomnias,C0700201,D020920,460
455,Carbamoyl-Phosphate Synthase I Deficiency Disease,C0751753,D020165,604
456,Inappropriate Adh Syndrome,C0021141,D007177,501
457,Magnesium Deficiency,C0024473,D008275,436
458,,,D007246,4
459,,,D003919,11
460,,,D006470,13
461,,,D014693,17
462,,,D001172,18
463,,,D011565,21
464,,,D009157,24
465,,,D001249,25
466,,,D000172,26
467,,,D000236,28
468,,,D003967,31
469,,,D009103,36
470,,,D000740,37
471,,,D044342,39
472,,,D006949,41
473,,,D001007,48
474,,,D017674,51
475,,,D007011,52
476,,,D010024,54
477,,,D012279,55
478,,,D006961,57
479,,,D014456,60
480,,,D012220,63
481,,,D010437,64
482,,,D000686,65
483,,,D001987,66
484,,,D000138,70
485,,,D005198,71
486,,,D003550,75
487,,,D000152,78
488,,,D007642,79
489,,,D020521,85
490,,,D006937,87
491,,,D001161,89
492,,,D009203,90
493,,,D006951,91
494,,,D009771,92
495,,,D003920,96
496,,,D013035,105
497,,,D009765,106
498,,,D001289,107
499,,,D013226,113
500,,,D004827,115
501,,,D013617,117
502,,,D007022,122
503,,,D010003,124
504,,,D010146,125
505,,,D005901,128
506,,,D008581,129
507,,,D002761,131
508,,,D005759,133
509,,,D008286,135
510,,,D001416,136
511,,,D001049,140
512,,,D005221,141
513,,,D000075222,144
514,,,D010033,146
515,,,D011014,147
516,,,D013927,148
517,,,D014549,150
518,,,D009377,154
519,,,D004941,155
520,,,D004487,156
521,,,D008103,158
522,,,D003865,161
523,,,D010538,163
524,,,D012852,165
525,,,D003556,166
526,,,D011704,167
527,,,D005076,169
528,,,D016410,170
529,,,D003877,172
530,,,D014376,179
531,,,D003872,182
532,,,D006261,183
533,,,D000787,187
534,,,D004760,188
535,,,D012559,190
536,,,D004828,195
537,,,D014605,199
538,,,D003231,203
539,,,D010518,207
540,,,D006689,212
541,,,D001932,214
542,,,D004806,216
543,,,D008545,219
544,,,D054058,221
545,,,D013923,222
546,,,D020246,223
547,,,D013036,225
548,,,D008171,226
549,,,D001919,228
550,,,D006042,230
551,,,D013967,233
552,,,D011537,237
553,,,D009437,239
554,,,D004485,240
555,,,D006934,242
556,,,D014581,243
557,,,D006967,244
558,,,D000799,245
559,,,D008223,251
560,,,D012509,252
561,,,D001778,256
562,,,D013345,257
563,,,D015464,259
564,,,D002545,260
565,,,D005334,262
566,,,D001168,263
567,,,D004374,269
568,,,D013585,270
569,,,D006073,271
570,,,D000855,282
571,,,D009220,286
572,,,D005756,290
573,,,D013280,291
574,,,D009325,294
575,,,D014839,295
576,,,D007008,297
577,,,D004421,299
578,,,D007511,305
579,,,D002292,311
580,,,D006528,312
581,,,D004697,315
582,,,D004886,318
583,,,D017118,321
584,,,D001201,322
585,,,D010195,325
586,,,D014202,327
587,,,D007637,328
588,,,D006976,331
589,,,D007938,334
590,,,D012507,338
591,,,D000312,341
592,,,D010392,347
593,,,D001327,349
594,,,D000224,351
595,,,D013966,355
596,,,D007945,357
597,,,D010673,359
598,,,D011125,366
599,,,D009447,371
600,,,D012516,372
601,,,D012175,373
602,,,D002051,374
603,,,D012208,376
604,,,D008258,378
605,,,D010019,380
606,,,D012514,386
607,,,D015614,387
608,,,D002312,389
609,,,D006391,390
610,,,D020388,393
611,,,D006965,399
612,,,D013203,403
613,,,D002481,404
614,,,D018805,405
615,,,D012595,406
616,,,D046152,409
617,,,D017681,410
618,,,D007018,420
619,,,D007634,421
620,,,D029502,424
621,,,D004751,429
622,,,D008654,431
623,,,D009393,438
624,,,D000707,443
625,,,D004417,444
626,,,D000402,445
627,,,D006323,446
628,,,D009202,450
629,,,D011655,451
630,,,D013924,453
631,,,D007238,455
632,,,D015473,456
633,,,D005158,467
634,,,D058729,470
635,,,D009362,472
636,,,D007951,476
637,,,D014652,481
638,,,D010304,483
639,,,D005734,486
640,,,D014657,487
641,,,D005354,494
642,,,D005910,495
643,,,D011658,498
644,,,D007333,499
645,,,D017093,507
646,,,D031901,510
647,,,D007057,514
648,,,D001988,519
649,,,D003092,520
650,,,D008415,522
651,,,D000077195,524
652,,,D007964,525
653,,,D003704,532
654,,,D010493,533
655,,,D011547,539
656,,,D006946,545
657,,,D007340,546
658,,,D007003,547
659,,,D006947,550
660,,,D006932,554
661,,,D009634,556
662,,,D004660,559
663,,,D002544,562
664,,,D012594,566
665,,,D011693,567
666,,,D015477,569
667,,,D002769,577
668,,,D000230,588
669,,,D004535,589
670,,,D016411,591
671,,,D013921,593
672,,,D002764,594
673,,,D012552,603
674,,,D000012,607
675,,,D008080,609
676,,,D000077273,613
677,,,D007662,618
678,,,D020347,619
679,,,D051436,625
680,,,D019851,633
681,,,D002819,634
682,,,D009069,635
683,,,D000141,637
684,,,D004244,641
685,,,D009135,643
686,,,D005891,646
687,,,D009759,648
688,,,D003731,649
689,,,D006461,669
690,,,D006617,672
691,,,D004393,673
692,,,D014424,674
693,,,D008413,679
